범죄분류,정상_남,정상_여,정신이상_남,정신이상_여,정신박약_남,정신박약_여,기타정신장애_남,기타정신장애_여,주취_남,주취_여,월경시이상,미상
절도,16498,2436,22,1,22,1,121,12,305,49,2,539
장물,333,89,0,0,0,0,0,0,2,0,0,19
사기,4253,822,5,0,2,0,9,2,108,28,0,995
횡령,936,362,0,0,0,0,4,0,22,18,0,82
손괴,517,58,3,0,4,0,14,0,227,27,0,105
살인,7,5,1,0,1,0,1,1,1,0,0,1
강도,174,49,1,0,0,0,0,0,8,0,0,12
방화,92,12,3,0,0,0,5,0,4,0,0,2
성폭력,2180,101,14,0,12,0,48,0,402,13,0,313
폭행,4801,1927,6,1,4,1,36,9,1324,257,0,3151
상해,3996,998,3,0,2,0,27,5,1034,179,0,274
협박,295,100,4,0,1,0,6,1,34,7,0,178
공갈,1306,150,0,0,0,0,6,0,14,2,0,119
도로교통법,4954,172,0,1,0,0,4,0,624,26,0,338
