범죄대분류,범죄중분류,계, 마약류(소계),마약류(마약),마약류(대마),마약류(향정신성의약품),본드신나등,알코올,해당무,미상
강력범죄,소계,26971,49,15,1,33,4,2823,17634,6461
강력범죄,살인기수,341,3,2,0,1,1,16,230,91
강력범죄,살인미수등,454,2,1,0,1,0,44,326,82
강력범죄,강도,1202,8,2,0,6,0,34,1013,147
강력범죄,강간,6113,24,4,1,19,2,584,3286,2217
강력범죄,유사강간,934,0,0,0,0,0,90,612,232
강력범죄,강제추행,16382,7,3,0,4,0,1909,10982,3484
강력범죄,기타 강간 강제추행등,349,2,0,0,2,0,29,258,60
강력범죄,방화,1196,3,3,0,0,1,117,927,148
절도범죄,소계,98425,37,8,5,24,1,1760,86389,10238
폭력범죄,소계,313990,51,12,15,24,6,23262,184308,106363
폭력범죄,상해,43552,5,0,3,2,1,4736,34492,4318
폭력범죄,폭행,178448,26,6,10,10,1,11122,86759,80540
폭력범죄,"체포,감금",1695,1,0,0,1,0,49,923,722
폭력범죄,협박,22507,6,2,1,3,1,1531,13796,7173
폭력범죄,약취 유인,296,0,0,0,0,0,8,172,116
폭력범죄,폭력행위등,25342,2,0,0,2,2,1944,18423,4971
폭력범죄,공갈,3434,4,1,0,3,0,30,2276,1124
폭력범죄,손괴,38716,7,3,1,3,1,3842,27467,7399
지능범죄,소계,307706,80,18,17,45,0,1829,159553,146244
지능범죄,직무유기,947,0,0,0,0,0,0,76,871
지능범죄,직권남용,1021,0,0,0,0,0,0,128,893
지능범죄,증수뢰,807,0,0,0,0,0,0,523,284
지능범죄,통화,86,0,0,0,0,0,0,28,58
지능범죄,문서 인장,15465,5,1,2,2,0,20,6887,8553
지능범죄,유가증권인지,117,0,0,0,0,0,0,43,74
지능범죄,사기,245009,71,16,14,41,0,1623,128792,114523
지능범죄,횡령,35930,4,1,1,2,0,186,20811,14929
지능범죄,배임,8324,0,0,0,0,0,0,2265,6059
풍속범죄,소계,34671,5,0,3,2,0,825,30236,3605
풍속범죄,성풍속범죄,13546,3,0,2,1,0,443,11216,1884
풍속범죄,도박범죄,21125,2,0,1,1,0,382,19020,1721
특별경제범죄,소계,67904,11,4,1,6,1,2591,44996,20305
마약범죄,소계,11630,5423,426,1123,3874,0,6,5172,1029
보건범죄,소계,21810,14,6,2,6,0,112,17907,3777
환경범죄,소계,4329,0,0,0,0,0,1,3659,669
교통범죄,소계,356446,45,8,3,34,1,60665,160866,134869
노동범죄,소계,613,0,0,0,0,0,0,480,133
안보범죄,소계,678,0,0,0,0,0,0,601,77
선거범죄,소계,1545,0,0,0,0,0,10,949,586
병역범죄,소계,3164,1,0,0,1,0,0,2877,286
기타범죄,소계,244539,90,26,11,53,133,5132,162908,76276
