범죄분류,없음,1회,2회,3회이상,미상
절도,11178,161,30,62,56
장물,111,0,1,0,1
사기,9552,54,17,12,434
횡령,3402,17,3,3,169
배임,1018,0,0,0,137
손괴,2592,48,12,6,10
살인,80,4,1,0,3
강도,26,0,0,0,0
방화,80,3,0,0,0
성폭력,1718,31,8,5,24
폭행,11821,190,59,54,53
상해,4057,84,26,16,17
협박,919,25,4,5,3
공갈,153,7,0,4,10
약취와유인,23,0,0,0,3
체포와감금,98,1,0,0,0
폭력행위등(손괴·강요·주거침입등),154,0,0,0,1
통화,11,0,1,0,0
유가증권/인지/우표,32,0,0,0,2
문서,1432,0,2,1,92
인장,50,1,0,0,4
직무유기,11,0,0,0,1
직권남용,19,0,0,0,3
수뢰,38,0,0,0,29
증뢰,47,0,0,0,15
도박과복표,1785,46,5,9,0
신앙,123,2,0,1,2
기타음란행위,147,6,0,0,1
과실치사상,348,2,1,1,3
업무상과실치사상,303,8,0,0,6
실화,348,3,0,0,0
명예,2766,19,4,7,44
권리행사방해,704,6,1,1,20
신용업무경매,2163,30,18,11,32
주거침입,837,10,4,4,6
비밀침해,8,0,0,0,0
유기,11,0,0,0,0
교통방해,290,1,1,0,5
공무방해,576,15,4,3,7
도주와범인은닉,16,1,0,0,2
위증과증거인멸,409,0,0,0,81
무고,729,2,0,1,128
공안을해하는죄,7,0,0,0,0
음용수에관한죄,8,0,0,0,0
일수와수리에관한죄,2,0,0,0,0
기타,4,0,0,0,0
개발제한구역의지정및관리에관한특별조치법,313,2,1,1,31
개인정보보호법,91,0,0,0,3
건축법,838,2,0,0,3
게임산업진흥에관한법률,195,1,0,0,0
경범죄처벌법,258,12,3,2,2
공유재산및물품관리법,25,0,0,0,1
공인중개사법,177,0,0,0,2
공중위생관리법,58,0,0,0,31
공직선거법,97,2,0,0,31
교통사고처리특례법,22175,94,23,27,1
국토의계획및이용에관한법률,371,3,0,0,1
근로기준법,138,8,1,0,1862
근로자퇴직급여보장법,56,1,0,0,607
농수산물의원산지표시에관한법률,39,0,0,0,149
농지법,272,3,0,0,1
대기환경보전법,100,1,0,0,97
대부업등의등록및금융이용자보호에관한법률,68,0,0,0,4
도로교통법,11510,151,37,34,3
도로법,145,0,0,0,5
마약류관리에관한법률,923,3,0,3,16
병역법,2,0,0,0,0
부정경쟁방지및영업비밀보호에관한법률,16,0,0,0,0
부정수표단속법,149,0,0,0,3
사행행위등규제및처벌특례법,10,0,0,0,2
산림자원의조성및관리에관한법률,55,1,0,0,140
산업안전보건법,19,1,0,0,276
산지관리법,215,2,1,2,495
상표법,148,0,0,0,34
선박안전법,63,0,0,0,0
선박직원법,29,0,0,0,0
성매매알선등행위의처벌에관한법률,489,12,3,3,4
수산업법,129,1,0,0,83
수산자원관리법,103,3,0,0,165
수질및수생태계보전에관한법률,51,3,1,0,35
식품위생법,642,1,0,0,286
아동·청소년의성보호에관한법률(성매수등),3,0,0,0,0
아동·청소년의성보호에관한법률(음란물등),3,0,0,0,0
아동복지법,52,1,0,0,0
여객자동차운수사업법,165,2,0,0,5
여신전문금융업법,133,2,1,1,2
외국환거래법,14,0,0,0,31
의료법,292,4,0,0,12
자동차관리법,841,9,2,0,390
자동차손해배상보장법,768,12,2,1,1263
저작권법,255,1,0,0,26
전자금융거래법,267,1,0,0,1
정보통신망이용촉진및정보보호등에관한법률,282,3,0,1,6
조세범처벌법,236,2,0,0,44
주민등록법,65,0,0,0,1
청소년보호법,709,2,0,1,4
축산물위생관리법,63,1,0,0,26
출입국관리법,92,1,0,0,20
통신비밀보호법,7,0,0,0,0
특가법(도주차량),505,2,0,1,0
폐기물관리법,128,4,1,0,56
풍속영업의규제에관한법률,15,1,0,0,0
학원의설립운영및과외교습에관한법률,5,0,0,0,0
화물자동차운수사업법,168,1,0,0,0
기타특별법,6051,73,7,11,943
