범죄분류,정상_남,정상_여,정신이상_남,정신이상_여,정신박약_남,정신박약_여,기타정신장애_남,기타정신장애_여,주취_남,주취_여,월경시 이상,미상
절도,63558,20324,317,221,222,74,975,604,8304,1210,134,10243
장물,2292,413,0,0,3,2,2,0,34,8,0,366
사기,77819,22033,58,44,22,10,120,61,7650,317,0,111343
횡령,15028,4319,18,4,23,4,85,35,594,96,0,15404
배임,2634,418,1,0,0,0,1,1,0,0,0,6478
손괴,10774,2188,206,121,42,12,249,116,14293,1322,0,5814
살인,297,68,23,5,3,0,27,14,311,24,0,157
강도,948,113,14,3,1,1,23,1,212,5,0,157
방화,397,70,38,25,6,2,58,16,426,77,0,148
성폭력,15842,387,131,7,85,1,441,12,9542,136,0,6150
폭행,48558,13307,300,181,58,16,420,213,50642,7302,1,106542
상해,27672,7138,154,74,30,4,279,94,27802,3425,1,7135
협박,7036,881,83,26,4,0,103,31,3905,234,0,4933
공갈,3244,431,8,1,4,0,16,2,294,14,0,1452
약취와유인,121,45,0,0,0,0,5,2,23,0,0,99
체포와감금,1120,257,5,0,1,0,6,2,239,15,0,1059
"폭력행위등(손괴,강요,주거침입등)",1446,389,0,1,0,2,1,1,265,32,0,760
"폭력행위등(단체등의구성,활동)",490,14,0,0,0,0,0,0,23,1,0,74
통화,126,13,0,0,0,0,1,0,0,0,0,394
유가증권·인지·우표,136,25,0,0,0,0,0,0,0,0,0,228
문서,5446,2204,1,0,1,0,2,2,85,57,0,9448
인장,339,37,0,0,0,0,0,0,4,3,0,202
직무유기,118,16,0,0,0,0,0,0,0,0,0,803
직권남용,131,17,0,0,0,0,0,0,0,0,0,904
수뢰,585,61,1,0,0,0,0,0,0,0,0,495
증뢰,296,18,0,0,0,0,0,0,3,0,0,329
도박과복표,17038,3453,1,2,0,0,4,4,1190,69,0,2119
신앙,147,25,0,0,0,0,0,0,3,2,0,313
기타음란행위,1231,17,55,2,25,0,128,4,779,23,0,227
과실치사상,832,462,0,0,3,0,4,2,186,37,0,1084
업무상과실치사상,3408,387,1,0,0,0,0,0,10,0,0,1538
실화,1443,359,0,2,1,1,10,5,115,17,0,120
명예,8641,3633,12,11,3,1,20,10,2724,182,0,14700
권리행사방해,4099,835,1,0,1,0,3,0,18,1,0,8144
신용업무경매,6230,1741,62,64,6,8,72,60,11841,1068,1,7539
주거침입,3689,1209,66,39,13,3,84,44,2722,333,0,2660
비밀침해,24,7,0,0,0,0,0,0,0,0,0,56
유기,38,113,0,0,0,0,0,1,4,2,0,84
교통방해,848,122,3,0,0,0,4,0,95,3,0,638
공무방해,2857,732,91,45,9,5,71,33,8822,878,0,1169
도주와범인은닉,347,125,0,0,1,0,1,0,88,19,0,383
위증과증거인멸,514,190,0,0,0,0,0,0,1,0,0,3597
무고,702,367,0,1,3,0,2,6,22,12,0,5548
공안을해하는죄,120,30,0,0,0,0,0,0,4,0,0,78
내란의죄,0,0,0,0,0,0,0,0,0,0,0,5
음용수에관한죄,6,0,0,0,0,0,0,0,0,0,0,17
일수와수리에관한죄,5,0,0,0,0,0,0,0,0,0,0,2
기타,20,21,0,0,0,0,0,0,0,0,0,24
가정폭력범죄의처벌등에관한특례법,106,6,0,0,0,0,0,0,50,0,0,30
경범죄처벌법,957,168,19,8,5,4,17,11,4256,331,0,815
교통사고처리특례법,52293,14425,11,3,4,1,38,13,8801,1124,0,112112
도로교통법,10825,730,6,0,2,0,26,4,1409,151,0,4114
도로교통법(무면허운전),38364,3018,11,2,5,0,40,2,1144,97,0,6185
도로교통법(사고후미조치),6861,1032,3,3,1,0,32,4,1651,189,0,17283
도로교통법(음주운전),8008,1012,1,1,0,0,13,2,150872,18180,0,2062
도로교통법(음주측정거부),106,8,0,0,0,0,1,0,2318,243,0,87
마약류관리에관한법률(대마),724,130,12,3,5,0,9,2,22,11,0,395
마약류관리에관한법률(마약),539,707,3,0,0,0,3,0,5,1,0,81
마약류관리에관한법률(향정),4123,982,124,19,19,12,109,33,76,17,0,2167
성매매알선등행위의처벌에관한법률,10471,7248,1,2,1,3,5,10,591,82,0,2827
아동·청소년의성보호에관한법률(성매수등),789,153,0,0,0,0,0,0,15,0,0,123
아동·청소년의성보호에관한법률(음란물등),467,12,0,0,0,0,4,0,0,0,0,50
특가법(도주차량),2566,412,5,1,1,0,17,1,1022,89,0,1485
