범죄분류,마약,대마,향정신성의약품,본드_신나 등 환각물질,알콜,해당무,미상
절도,4,0,9,4,1200,56403,103
장물,0,0,0,0,1,1688,3
사기,4,0,7,1,1468,80217,1033
횡령,0,0,1,0,75,12315,137
배임,0,0,0,0,0,1985,67
손괴,4,1,6,1,2584,19047,43
살인,0,0,1,1,55,453,1
강도,0,0,2,1,38,962,0
방화,0,0,3,0,99,720,2
성폭력,0,0,11,0,1531,12950,125
폭행,3,0,9,2,9276,75132,802
상해,3,1,4,1,5215,41245,109
협박,0,0,1,1,866,8289,45
공갈,0,0,1,1,61,2675,19
약취와유인,0,0,0,0,4,116,0
체포와감금,0,0,0,0,49,1072,9
폭력행위등(손괴·강요·주거침입등),0,0,0,0,31,1188,13
폭력행위등(단체등의구성·활동),0,0,0,0,6,480,3
통화,0,0,0,0,0,113,2
유가증권·인지·우표,0,0,0,0,0,140,5
문서,1,0,0,0,20,4566,65
인장,0,0,0,0,3,278,4
직무유기,0,0,0,0,0,31,1
직권남용,0,0,0,0,0,55,3
수뢰,0,0,0,0,0,326,4
증뢰,0,0,0,0,1,225,2
도박과복표,0,0,1,0,229,16297,31
신앙,0,0,1,0,2,117,0
기타음란행위,0,0,0,0,162,1371,2
과실치사상,0,0,0,0,24,851,14
업무상과실치사상,0,0,0,0,0,2464,15
실화,0,0,0,0,15,1118,1
명예,0,0,0,0,415,8890,85
권리행사방해,1,0,2,0,6,3954,62
신용업무경매,1,1,3,0,2399,14764,38
주거침입,1,0,2,2,502,5095,21
비밀침해,0,0,0,0,0,12,0
유기,0,0,0,0,3,49,0
교통방해,0,0,0,0,13,819,4
공무방해,0,0,3,3,1707,8828,28
도주와범인은닉,0,0,0,0,17,329,11
위증과증거인멸,1,0,0,0,1,446,49
무고,2,0,0,0,5,681,71
공안을해하는죄,1,0,0,0,0,123,1
음용수에관한죄,0,0,0,0,0,6,0
일수와수리에관한죄,0,0,0,0,0,4,0
기타,0,0,0,0,0,18,0
경범죄처벌법,0,1,0,0,827,4169,7
교통사고처리특례법,0,0,3,0,2784,41167,555
도로교통법,11,1,10,0,50339,118190,198
마약류관리에관한법률,69,70,466,0,0,4832,66
성매매알선등행위의처벌에관한법률,0,0,2,0,46,10192,13
아동·청소년의성보호에관한법률(성매수등),0,0,0,0,5,523,2
아동·청소년의성보호에관한법률(음란물등),0,0,0,0,0,134,0
특가법(도주차량),0,0,3,0,369,2527,10
