동종 / 이종,동종재범,동종재범,동종재범,동종재범,동종재범,동종재범,동종재범,동종재범,이종재범,이종재범,이종재범,이종재범,이종재범,이종재범,이종재범,이종재범
범죄별,소계,1개월 이내,3개월 이내,6개월 이내,1년 이내,2년 이내,3년 이내,3년 초과,소계,1개월 이내,3개월 이내,6개월 이내,1년 이내,2년 이내,3년 이내,3년 초과
절도,4336,1220,1034,618,1051,260,122,31,3814,1028,863,589,926,253,103,52
장물,45,9,9,8,8,5,5,1,43,4,5,6,19,7,1,1
사기,2741,647,563,407,843,150,88,43,2142,400,380,324,700,156,107,75
횡령,253,35,37,50,73,29,24,5,232,39,42,24,79,25,15,8
강도,113,24,22,19,25,19,3,1,85,11,19,23,20,11,1,-
성폭력,269,26,40,37,98,45,16,7,339,35,44,49,121,45,27,18
폭행,1361,135,227,214,391,228,122,44,1274,101,233,199,426,177,98,40
상해,790,93,144,115,240,125,52,21,770,112,127,117,228,109,49,28
협박,131,16,37,16,34,18,8,2,126,6,28,24,38,19,6,5
공갈,469,83,106,96,112,50,15,7,437,93,94,61,125,41,20,3
