범죄분류,전과없음,1범,2범,3범,4범,5범,6범,7범,8범,9범 이상,미상
절도,690,325,218,177,131,111,109,70,56,523,3
장물,4,1,1,0,0,0,0,1,0,0,0
사기,75,42,31,19,15,14,17,7,6,87,2
횡령,73,31,17,14,11,2,2,2,1,15,1
배임,1,0,0,1,0,0,0,0,0,1,1
손괴,254,126,69,59,37,36,24,16,13,111,1
살인,37,10,7,4,5,3,1,2,0,3,0
강도,13,6,7,0,1,3,4,1,1,7,0
방화,49,28,18,12,6,7,4,5,1,15,0
성폭력,319,117,65,44,20,17,10,15,10,58,2
폭행,442,182,116,98,55,41,39,25,18,166,7
상해,251,107,52,40,35,21,16,18,14,80,1
협박,89,40,17,20,17,12,11,6,2,33,0
공갈,10,5,3,2,1,0,3,1,1,4,1
약취와유인,1,1,2,2,0,0,1,0,0,0,0
체포와감금,6,2,2,0,0,1,0,0,0,2,1
"폭력행위등(손괴,강요,주거침입등)",4,0,1,0,0,0,0,0,0,0,0
통화,0,0,0,0,0,1,0,0,0,0,0
문서,0,1,2,2,0,0,0,0,0,1,0
수뢰,0,0,0,0,1,0,0,0,0,0,0
도박과복표,3,2,0,1,1,0,0,1,1,2,0
기타음란행위,87,33,24,11,4,9,9,7,5,25,0
과실치사상,6,0,3,0,0,0,0,0,0,0,0
업무상과실치사상,0,0,0,0,1,0,0,0,0,0,0
실화,12,2,1,2,0,0,0,0,0,2,0
명예,18,8,4,5,1,8,1,1,0,11,0
권리행사방해,0,1,2,0,0,1,1,0,0,0,0
신용업무경매,83,43,27,13,20,13,5,7,5,55,1
주거침입,82,33,34,24,10,11,10,5,7,33,0
유기,1,0,0,0,0,0,0,0,0,0,0
교통방해,1,0,3,1,0,0,1,0,0,1,0
공무방해,76,29,23,26,20,14,12,2,10,41,1
도주와범인은닉,0,1,0,0,0,0,0,0,0,1,0
무고,8,2,2,0,0,0,0,0,0,0,0
건축법,0,0,1,1,0,0,0,0,0,1,0
게임산업진흥에관한법률,0,1,1,0,0,0,0,0,0,0,0
경범죄처벌법,17,5,11,5,5,7,1,2,0,11,0
공인중개사법,0,0,1,0,0,0,0,0,0,0,0
공중위생관리법,0,0,1,0,0,0,0,0,0,0,0
공직선거법,7,2,3,2,0,2,0,0,0,0,0
교통사고처리특례법,25,18,6,4,2,1,3,3,3,5,0
국민체육진흥법,0,1,0,0,0,0,0,0,0,0,0
국토의계획및이용에관한법률,0,0,1,0,0,0,0,0,0,0,0
근로기준법,0,0,0,0,0,0,0,0,0,0,1
근로자퇴직급여보장법,1,0,0,0,0,0,0,0,0,0,0
도로교통법,43,22,16,16,10,8,6,4,9,25,0
도로법,0,0,0,1,0,0,0,0,0,0,0
마약류관리에관한법률,52,27,19,18,13,8,17,12,12,175,0
병역법,3,5,0,0,1,0,0,0,0,1,0
부정수표단속법,0,0,0,0,1,0,0,0,0,0,0
산지관리법,1,0,0,0,0,0,0,0,0,0,0
성매매알선등행위의처벌에관한법률,7,3,4,1,1,1,0,0,1,4,0
수산업법,0,0,0,0,0,0,0,0,0,1,0
식품위생법,0,1,0,0,0,1,0,0,0,0,1
아동·청소년의성보호에관한법률(음란물등),0,4,0,0,0,0,0,0,0,0,0
아동복지법,45,12,9,4,5,3,1,3,0,2,0
여객자동차운수사업법,0,0,0,0,0,0,0,0,0,1,0
여신전문금융업법,6,7,4,1,0,1,1,0,0,1,0
예비군법,4,0,0,0,1,1,0,0,0,0,0
의료법,2,1,1,0,0,0,0,0,0,0,0
자동차관리법,1,0,1,0,1,2,0,0,0,1,0
자동차손해배상보장법,4,0,1,1,0,0,1,0,0,1,0
저작권법,7,3,2,0,0,2,0,0,1,0,2
전자금융거래법,7,8,3,3,0,1,0,0,0,0,0
정보통신망이용촉진및정보보호등에관한법률,34,10,3,6,2,2,1,0,1,1,0
조세범처벌법,1,0,0,0,0,0,0,0,0,0,0
주민등록법,2,2,0,0,0,0,1,0,0,2,0
청소년보호법,6,2,0,0,1,0,1,1,0,0,0
출입국관리법,2,0,0,0,0,0,0,0,0,0,0
특가법(도주차량),6,4,4,2,1,1,1,0,0,6,0
폐기물관리법,0,0,0,0,0,1,0,0,0,0,0
화물자동차운수사업법,0,0,1,0,0,0,0,0,0,0,0
기타특별법,70,26,27,21,18,10,7,4,3,69,1
